,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,000016.SH,20100104,2514.646,2565.108,2570.152,2514.237,2553.8,-39.154,-1.5332,27327443.0,36468522.963
1,000016.SH,20100105,2543.991,2526.291,2560.667,2487.048,2514.646,29.345,1.167,35377438.0,50779118.26
2,000016.SH,20100106,2514.014,2538.285,2549.571,2513.365,2543.991,-29.977,-1.1783,29646151.0,43444325.534
3,000016.SH,20100107,2463.758,2516.057,2527.427,2450.402,2514.014,-50.256,-1.999,32043185.0,44611409.814
4,000016.SH,20100112,2508.039,2472.623,2513.298,2435.156,2478.81,29.229,1.1792,38048146.0,51587338.665
5,000016.SH,20100113,2399.642,2444.237,2457.9,2396.474,2508.039,-108.397,-4.322,49558854.0,64803855.136
6,000016.SH,20100114,2422.771,2412.634,2428.705,2384.165,2399.642,23.129,0.9639,30562214.0,39708569.808
7,000016.SH,20100115,2427.807,2423.13,2445.203,2402.904,2422.771,5.036,0.2079,25994928.0,34691328.647
8,000016.SH,20100118,2421.188,2414.893,2421.89,2398.778,2427.807,-6.619,-0.2726,30936344.0,41866659.345
9,000016.SH,20100119,2432.713,2424.469,2450.281,2424.161,2421.188,11.525,0.476,27829076.0,37544640.666
10,000016.SH,20100120,2359.485,2436.647,2439.468,2356.161,2432.713,-73.228,-3.0101,34748485.0,45720566.126
11,000016.SH,20100121,2377.753,2362.597,2391.508,2346.148,2359.485,18.268,0.7742,29196147.0,37804392.708
12,000016.SH,20100126,2311.447,2354.905,2363.411,2296.875,2353.471,-42.024,-1.7856,24700383.0,30347743.465
13,000016.SH,20100127,2264.605,2313.007,2319.993,2260.564,2311.447,-46.842,-2.0265,22280212.0,27288373.309
14,000016.SH,20100128,2252.61,2263.061,2267.853,2235.603,2264.605,-11.995,-0.5297,19023456.0,23754286.041
15,000016.SH,20100129,2243.994,2241.117,2276.767,2231.649,2252.61,-8.616,-0.3825,18626036.0,23861735.672
16,000016.SH,20100201,2208.936,2238.617,2238.898,2182.952,2243.994,-35.058,-1.5623,22082437.0,28608214.63
17,000016.SH,20100202,2214.033,2223.598,2261.633,2210.696,2208.936,5.097,0.2307,19640116.0,25970058.516
18,000016.SH,20100203,2277.798,2226.797,2278.475,2190.428,2214.033,63.765,2.88,24836450.0,32146915.297
19,000016.SH,20100204,2261.358,2258.084,2276.47,2247.64,2277.798,-16.44,-0.7217,17182667.0,21637703.163
20,000016.SH,20100205,2219.6,2212.308,2233.315,2204.929,2261.358,-41.758,-1.8466,18456182.0,22714229.934
21,000016.SH,20100208,2211.135,2220.842,2233.135,2201.802,2219.6,-8.465,-0.3814,12006796.0,15532833.677
22,000016.SH,20100209,2229.038,2210.328,2234.53,2207.848,2211.135,17.903,0.8097,10541683.0,13316002.985
23,000016.SH,20100210,2259.99,2246.77,2260.479,2239.177,2229.038,30.952,1.3886,12084848.0,16865860.503
24,000016.SH,20100211,2265.138,2261.823,2275.759,2254.975,2259.99,5.148,0.2278,12535479.0,15327711.044
25,000016.SH,20100212,2284.386,2275.592,2286.676,2270.756,2265.138,19.248,0.8497,13026260.0,16653482.712
26,000016.SH,20100222,2269.045,2282.09,2291.783,2268.092,2284.386,-15.341,-0.6716,13688359.0,16865165.2
27,000016.SH,20100223,2227.952,2261.993,2261.993,2202.214,2269.045,-41.093,-1.811,15276395.0,25286082.271
28,000016.SH,20100224,2251.7,2211.393,2252.645,2204.675,2227.952,23.748,1.0659,16815352.0,21257295.094
29,000016.SH,20100225,2282.64,2254.801,2286.92,2251.963,2251.7,30.94,1.3741,24186779.0,32214891.643
30,000016.SH,20100226,2274.325,2278.432,2288.597,2270.769,2282.64,-8.315,-0.3643,15274059.0,19400436.299
31,000016.SH,20100303,2311.841,2304.056,2312.419,2287.037,2302.185,9.656,0.4194,15845846.0,21138516.899
32,000016.SH,20100304,2261.926,2312.299,2312.783,2259.176,2311.841,-49.915,-2.1591,19620716.0,24267036.362
33,000016.SH,20100315,2240.731,2274.714,2276.445,2232.953,2274.532,-33.801,-1.4861,13912403.0,17651572.544
34,000016.SH,20100316,2261.515,2239.427,2262.006,2234.669,2240.731,20.784,0.9276,11551315.0,15559100.981
35,000016.SH,20100317,2307.083,2266.958,2307.399,2260.102,2261.515,45.568,2.0149,17223846.0,24603699.676
36,000016.SH,20100318,2294.947,2307.257,2318.05,2288.894,2307.083,-12.136,-0.526,15810293.0,21834936.837
37,000016.SH,20100319,2310.546,2296.776,2313.026,2282.378,2294.947,15.599,0.6797,15390760.0,20301268.717
38,000016.SH,20100322,2316.631,2314.442,2330.671,2310.074,2310.546,6.085,0.2634,19207858.0,24475053.603
39,000016.SH,20100323,2292.004,2319.198,2321.263,2290.432,2316.631,-24.627,-1.0631,16566254.0,20855614.983
40,000016.SH,20100324,2291.833,2298.883,2313.427,2289.113,2292.004,-0.171,-0.0075,16356315.0,18866986.145
41,000016.SH,20100329,2363.976,2309.916,2368.696,2306.283,2292.673,71.303,3.11,39014103.0,46144394.431
42,000016.SH,20100330,2368.51,2364.79,2372.794,2355.319,2363.976,4.534,0.1918,18645035.0,23564042.955
43,000016.SH,20100331,2350.818,2370.827,2372.558,2345.848,2368.51,-17.692,-0.747,20562426.0,25053244.299
44,000016.SH,20100401,2376.597,2352.997,2381.388,2352.997,2350.818,25.779,1.0966,23382671.0,29731727.221
45,000016.SH,20100402,2379.194,2382.545,2386.14,2370.659,2376.597,2.597,0.1093,22423640.0,31142340.795
46,000016.SH,20100406,2378.575,2391.253,2403.816,2367.099,2379.194,-0.619,-0.026,21419648.0,29045006.305
47,000016.SH,20100407,2362.281,2376.778,2377.106,2349.505,2378.575,-16.294,-0.685,17687715.0,22959601.388
48,000016.SH,20100413,2364.837,2316.994,2368.912,2315.279,2317.383,47.454,2.0477,29195775.0,39796703.985
49,000016.SH,20100414,2366.611,2367.002,2371.068,2352.843,2364.837,1.774,0.075,20661062.0,29640527.91
50,000016.SH,20100415,2366.572,2370.197,2374.558,2343.244,2366.611,-0.039,-0.0016,21401638.0,30379309.622
51,000016.SH,20100504,2109.812,2103.673,2130.757,2096.118,2149.453,-39.641,-1.8442,15831379.0,18275086.865
52,000016.SH,20100505,2110.045,2078.193,2110.783,2051.186,2109.812,0.233,0.011,24258194.0,30562916.109
53,000016.SH,20100506,2007.012,2089.653,2089.653,2005.062,2110.045,-103.033,-4.883,22747337.0,27533104.795
54,000016.SH,20100507,1980.168,1969.623,2012.969,1956.829,2007.012,-26.844,-1.3375,25768834.0,29708888.806
55,000016.SH,20100510,2007.522,1987.1,2016.855,1968.004,1980.168,27.354,1.3814,19269364.0,22960072.553
56,000016.SH,20100511,1967.66,2048.249,2051.272,1957.758,2007.522,-39.862,-1.9856,24275437.0,28950358.96
57,000016.SH,20100512,2001.131,1956.506,2002.807,1943.515,1967.66,33.471,1.7011,23270242.0,27358025.265
58,000016.SH,20100513,2041.556,1999.107,2044.825,1996.954,2001.131,40.425,2.0201,24686011.0,28479328.73
59,000016.SH,20100517,1927.692,1994.469,1994.469,1924.036,2019.73,-92.038,-4.5569,21238602.0,23632146.922
60,000016.SH,20100521,1943.429,1879.261,1944.702,1874.318,1925.244,18.185,0.9446,20986633.0,21335366.192
61,000016.SH,20100602,1907.902,1897.577,1908.541,1876.197,1911.432,-3.53,-0.1847,16811038.0,15780616.58
62,000016.SH,20100607,1853.363,1863.674,1873.268,1843.405,1894.45,-41.087,-2.1688,15654783.0,15224534.159
63,000016.SH,20100610,1873.824,1882.6,1891.961,1871.994,1906.896,-33.072,-1.7343,14741799.0,14839141.18
64,000016.SH,20100611,1883.196,1884.505,1901.245,1880.626,1873.824,9.372,0.5002,13343454.0,14233750.234
65,000016.SH,20100618,1870.871,1881.852,1900.472,1865.328,1882.133,-11.262,-0.5984,14148447.0,15107373.284
66,000016.SH,20100621,1933.616,1880.127,1938.74,1873.694,1870.871,62.745,3.3538,24043239.0,26023553.545
67,000016.SH,20100622,1930.002,1926.629,1937.958,1920.52,1933.616,-3.614,-0.1869,13307347.0,14202509.388
68,000016.SH,20100624,1914.646,1907.911,1935.858,1902.053,1913.626,1.02,0.0533,10631076.0,11438643.466
69,000016.SH,20100625,1915.91,1905.805,1927.227,1901.003,1914.646,1.264,0.066,12540102.0,12715860.13
70,000016.SH,20100629,1833.037,1911.171,1914.9,1832.247,1910.469,-77.432,-4.053,20679335.0,18726720.633
71,000016.SH,20100630,1819.109,1821.814,1830.618,1810.578,1833.037,-13.928,-0.7598,14235271.0,12286540.217
72,000016.SH,20100701,1799.881,1814.567,1826.518,1798.197,1819.109,-19.228,-1.057,11908188.0,10840577.959
73,000016.SH,20100702,1812.58,1798.355,1817.282,1771.491,1799.881,12.699,0.7055,18202857.0,15325113.77
74,000016.SH,20100705,1797.66,1795.477,1811.332,1776.38,1812.58,-14.92,-0.8231,12620199.0,11016526.935
75,000016.SH,20100706,1826.395,1793.245,1826.619,1790.858,1797.66,28.735,1.5985,15911413.0,13452268.567
76,000016.SH,20100707,1829.557,1822.331,1829.806,1810.529,1826.395,3.162,0.1731,11516354.0,10774505.575
77,000016.SH,20100708,1828.131,1837.237,1846.435,1822.318,1829.557,-1.426,-0.0779,11653019.0,11413910.786
78,000016.SH,20100709,1870.303,1830.285,1883.432,1815.576,1828.131,42.172,2.3068,20759794.0,20852987.305
79,000016.SH,20100713,1859.152,1867.309,1869.037,1848.547,1887.671,-28.519,-1.5108,14869553.0,15104003.481
80,000016.SH,20100714,1873.038,1863.747,1893.682,1863.443,1859.152,13.886,0.7469,17639372.0,17694633.395
81,000016.SH,20100715,1840.668,1870.365,1890.752,1839.969,1873.038,-32.37,-1.7282,14663864.0,13907413.275
82,000016.SH,20100716,1839.219,1833.996,1844.397,1818.176,1840.668,-1.449,-0.0787,11699944.0,11060297.314
83,000016.SH,20100719,1878.528,1822.443,1884.632,1818.515,1839.219,39.309,2.1373,17298344.0,17645179.053
84,000016.SH,20100720,1909.965,1880.249,1915.49,1880.24,1878.528,31.437,1.6735,25534642.0,25605616.334
85,000016.SH,20100721,1914.33,1912.203,1925.484,1903.296,1909.965,4.365,0.2285,22598169.0,20787652.385
86,000016.SH,20100722,1933.877,1906.929,1936.23,1903.992,1914.33,19.547,1.0211,20474079.0,19710032.876
87,000016.SH,20100723,1945.451,1937.373,1956.417,1932.093,1933.877,11.574,0.5985,24244735.0,23558455.19
88,000016.SH,20100728,1983.628,1937.858,1986.258,1929.796,1936.074,47.554,2.4562,29965625.0,28729137.007
89,000016.SH,20100729,1993.87,1984.464,2002.112,1979.041,1983.628,10.242,0.5163,39767298.0,32599753.362
90,000016.SH,20100730,1986.76,1990.454,1991.341,1972.567,1993.87,-7.11,-0.3566,22568681.0,19379790.449
91,000016.SH,20100802,2015.655,1984.124,2019.249,1982.752,1986.76,28.895,1.4544,26278985.0,22355380.236
92,000016.SH,20100803,1978.414,2019.66,2022.545,1978.072,2015.655,-37.241,-1.8476,28901221.0,25408281.859
93,000016.SH,20100804,1981.525,1975.738,1988.31,1948.911,1978.414,3.111,0.1572,24720109.0,22054055.834
94,000016.SH,20100805,1954.336,1980.775,1980.775,1945.381,1981.525,-27.189,-1.3721,23856874.0,21812079.253
95,000016.SH,20100806,1979.228,1953.063,1980.852,1934.57,1954.336,24.892,1.2737,24000152.0,22212498.36
96,000016.SH,20100809,1988.017,1974.968,1992.433,1968.201,1979.228,8.789,0.4441,25438240.0,25108659.101
97,000016.SH,20100810,1934.587,1989.549,1991.898,1933.72,1988.017,-53.43,-2.6876,29379587.0,25380027.279
98,000016.SH,20100811,1939.844,1930.361,1950.788,1928.304,1934.587,5.257,0.2717,20605593.0,16598116.61
99,000016.SH,20100812,1914.451,1924.716,1941.676,1911.685,1939.844,-25.393,-1.309,20849034.0,17383936.432
100,000016.SH,20100813,1930.671,1915.811,1931.71,1902.625,1914.451,16.22,0.8472,22700824.0,18400212.711
101,000016.SH,20100816,1971.295,1926.391,1974.72,1920.458,1930.671,40.624,2.1041,27933266.0,27485451.199
102,000016.SH,20100818,1974.664,1982.294,1997.448,1971.463,1979.789,-5.125,-0.2589,24911410.0,23947621.607
103,000016.SH,20100819,1994.162,1979.219,2005.296,1972.045,1974.664,19.498,0.9874,28625528.0,28655108.87
104,000016.SH,20100820,1967.061,1985.583,1998.415,1964.0,1994.162,-27.101,-1.359,25983198.0,24863385.334
105,000016.SH,20100823,1962.778,1963.312,1982.467,1957.802,1967.061,-4.283,-0.2177,15391575.0,15385989.842
106,000016.SH,20100824,1960.055,1959.61,1979.711,1938.679,1962.778,-2.723,-0.1387,19262214.0,17586903.454
107,000016.SH,20100825,1914.997,1948.457,1954.945,1914.763,1960.055,-45.058,-2.2988,22408604.0,19242828.809
108,000016.SH,20100826,1914.636,1922.9,1930.215,1907.461,1914.997,-0.361,-0.0189,14349990.0,14067579.33
109,000016.SH,20100827,1917.581,1914.215,1919.07,1903.912,1914.636,2.945,0.1538,12438200.0,12397953.04
110,000016.SH,20100830,1942.559,1926.115,1948.417,1922.916,1917.581,24.978,1.3026,21733148.0,20676278.373
111,000016.SH,20100831,1923.907,1935.406,1935.521,1916.718,1942.559,-18.652,-0.9602,20615551.0,20071056.07
112,000016.SH,20100901,1917.33,1927.719,1949.933,1905.726,1923.907,-6.577,-0.3419,25068574.0,23828261.203
113,000016.SH,20100902,1935.922,1941.086,1945.51,1928.544,1917.33,18.592,0.9697,21665393.0,25716066.256
114,000016.SH,20100903,1929.186,1937.847,1938.121,1913.408,1935.922,-6.736,-0.3479,23314743.0,24025999.163
115,000016.SH,20100906,1975.677,1938.539,1977.661,1936.502,1929.186,46.491,2.4099,33440164.0,33385822.026
116,000016.SH,20100907,1973.14,1979.285,1983.507,1962.794,1975.677,-2.537,-0.1284,22754795.0,23688060.997
117,000016.SH,20100908,1956.33,1963.633,1963.633,1946.042,1973.14,-16.81,-0.8519,25630141.0,28704683.915
118,000016.SH,20100909,1918.286,1957.957,1957.957,1915.088,1956.33,-38.044,-1.9447,25681933.0,27128256.132
119,000016.SH,20100910,1915.645,1920.091,1926.822,1897.954,1918.286,-2.641,-0.1377,19363246.0,18684781.533
120,000016.SH,20100913,1922.142,1914.379,1936.084,1906.856,1915.645,6.497,0.3392,21881475.0,21721325.384
121,000016.SH,20100914,1925.014,1928.086,1939.818,1918.17,1922.142,2.872,0.1494,22286882.0,23013732.69
122,000016.SH,20100915,1893.027,1926.504,1926.504,1889.068,1925.014,-31.987,-1.6617,21820846.0,22400750.676
123,000016.SH,20100916,1858.449,1890.258,1895.134,1845.073,1893.027,-34.578,-1.8266,27213402.0,23573730.207
124,000016.SH,20100917,1857.31,1864.718,1869.008,1852.244,1858.449,-1.139,-0.0613,17299194.0,16869149.361
125,000016.SH,20100920,1860.854,1859.424,1873.706,1844.157,1857.31,3.544,0.1908,15786515.0,16352627.839
126,000016.SH,20100927,1881.545,1869.983,1882.309,1863.434,1864.414,17.131,0.9188,17452466.0,19002710.165
127,000016.SH,20100928,1863.881,1876.492,1876.527,1860.683,1881.545,-17.664,-0.9388,22617556.0,29124846.354
128,000016.SH,20100930,1913.109,1858.454,1914.239,1856.816,1868.749,44.36,2.3738,27269776.0,30998073.996
129,000016.SH,20101008,1990.014,1933.419,1997.489,1932.595,1913.109,76.905,4.0199,40587646.0,48462232.48
130,000016.SH,20101011,2066.948,2005.696,2084.305,2005.696,1990.014,76.934,3.866,67745275.0,78646529.23
131,000016.SH,20101012,2091.781,2058.092,2094.736,2047.905,2066.948,24.833,1.2014,49720064.0,61450369.098
132,000016.SH,20101013,2125.614,2093.461,2126.52,2088.954,2091.781,33.833,1.6174,54515132.0,64595333.752
133,000016.SH,20101014,2160.837,2152.865,2201.643,2152.865,2125.614,35.223,1.6571,87552222.0,89103135.942
134,000016.SH,20101015,2254.392,2148.922,2255.566,2144.204,2160.837,93.555,4.3296,96786741.0,100058765.027
135,000016.SH,20101018,2241.722,2270.413,2321.691,2238.566,2254.392,-12.67,-0.562,97337631.0,104927261.916
136,000016.SH,20101019,2278.353,2236.986,2278.583,2219.614,2241.722,36.631,1.6341,52260311.0,57882421.19
137,000016.SH,20101020,2285.214,2240.735,2320.813,2239.04,2278.353,6.861,0.3011,68126853.0,83415553.75
138,000016.SH,20101021,2245.248,2287.371,2290.769,2228.038,2285.214,-39.966,-1.7489,48696229.0,56319421.533
139,000016.SH,20101022,2231.057,2234.37,2255.694,2212.608,2245.248,-14.191,-0.632,38968191.0,48177724.06
140,000016.SH,20101025,2294.451,2232.015,2295.106,2206.865,2231.057,63.394,2.8414,50918144.0,64066966.815
141,000016.SH,20101026,2272.208,2300.699,2310.011,2255.13,2294.451,-22.243,-0.9694,54846276.0,66862109.917
142,000016.SH,20101027,2225.371,2259.696,2291.618,2222.101,2272.208,-46.837,-2.0613,42904188.0,51998971.522
143,000016.SH,20101029,2189.479,2226.718,2228.121,2180.86,2224.238,-34.759,-1.5627,35928666.0,43788096.995
144,000016.SH,20101101,2238.471,2198.465,2238.471,2198.465,2189.479,48.992,2.2376,42287250.0,49973079.865
145,000016.SH,20101102,2231.704,2248.009,2265.399,2205.946,2238.471,-6.767,-0.3023,52493870.0,68576868.936
146,000016.SH,20101103,2226.468,2232.319,2258.464,2203.318,2231.704,-5.236,-0.2346,52267842.0,59939381.812
147,000016.SH,20101104,2254.763,2230.844,2259.235,2228.05,2226.468,28.295,1.2708,43384678.0,51103807.982
148,000016.SH,20101105,2279.004,2298.528,2308.039,2263.273,2254.763,24.241,1.0751,53046661.0,64736998.324
149,000016.SH,20101108,2289.964,2287.5,2294.686,2270.251,2279.004,10.96,0.4809,41459774.0,49273612.743
150,000016.SH,20101109,2257.348,2290.753,2290.753,2244.084,2289.964,-32.616,-1.4243,43644495.0,53521977.767
151,000016.SH,20101110,2226.16,2242.613,2242.613,2210.298,2257.348,-31.188,-1.3816,42990710.0,53362233.643
152,000016.SH,20101111,2252.283,2227.064,2278.756,2218.574,2226.16,26.123,1.1735,52977511.0,68328863.306
153,000016.SH,20101112,2130.581,2234.784,2248.28,2126.782,2252.283,-121.702,-5.4035,63168884.0,75970934.226
154,000016.SH,20101115,2126.697,2135.514,2144.083,2086.191,2130.581,-3.884,-0.1823,44828125.0,49058792.838
155,000016.SH,20101125,2041.337,2024.247,2042.016,1997.901,2014.155,27.182,1.3495,28895497.0,32602491.397
156,000016.SH,20101126,2018.397,2034.146,2040.978,2008.597,2041.337,-22.94,-1.1238,21442050.0,25936824.785
157,000016.SH,20101129,2011.898,2008.981,2023.856,1997.329,2018.397,-6.499,-0.322,18463577.0,22228242.202
158,000016.SH,20101130,1979.891,2010.072,2021.268,1943.392,2011.898,-32.007,-1.5909,27781638.0,30974119.971
159,000016.SH,20101201,1984.305,1975.821,1992.457,1968.317,1979.891,4.414,0.2229,15097741.0,17176086.603
160,000016.SH,20101202,1998.149,2016.156,2019.866,1997.234,1984.305,13.844,0.6977,21974719.0,24021907.305
161,000016.SH,20101206,2032.03,2016.108,2038.88,2011.266,2008.12,23.91,1.1907,22989175.0,27985851.234
162,000016.SH,20101207,2046.723,2023.52,2056.063,2000.195,2032.03,14.693,0.7231,22717462.0,29061596.404
163,000016.SH,20101208,2018.461,2040.024,2050.751,2016.06,2046.723,-28.262,-1.3808,21999582.0,26545444.375
164,000016.SH,20101209,1996.384,2007.766,2026.275,1994.447,2018.461,-22.077,-1.0938,25003675.0,25680277.398
165,000016.SH,20101210,2021.651,1988.07,2026.64,1985.176,1996.384,25.267,1.2656,22109628.0,24117240.208
166,000016.SH,20101213,2074.334,2027.448,2074.575,2021.808,2021.651,52.683,2.6059,38802108.0,41746060.63
167,000016.SH,20101214,2069.921,2078.195,2084.194,2064.182,2074.334,-4.413,-0.2127,30703315.0,32688855.163
168,000016.SH,20101216,2036.554,2053.031,2056.49,2032.807,2054.017,-17.463,-0.8502,21210969.0,23585059.476
169,000016.SH,20101217,2032.138,2036.507,2036.85,2023.89,2036.554,-4.416,-0.2168,15554315.0,18732328.92
170,000016.SH,20101220,1999.525,2039.286,2045.032,1969.98,2032.138,-32.613,-1.6049,23815164.0,27612777.762
171,000016.SH,20101221,2049.223,2004.178,2052.549,1996.784,1999.525,49.698,2.4855,27631616.0,31499545.566
172,000016.SH,20101222,2021.976,2051.802,2057.977,2012.641,2049.223,-27.247,-1.3296,23683018.0,27126029.327
