,ts_code,trade_date,open,high,low,close,vol,macd,kdjk,kdjd,rsi
0,510050.SH,20100104,2.569,2.572,2.51,2.512,7864332.06,0.0,34.408602150537746,44.80286738351258,100.0
1,510050.SH,20100105,2.525,2.562,2.489,2.544,10998787.55,0.0007179487179485022,45.02742151401313,44.87771876034609,100.0
2,510050.SH,20100106,2.539,2.55,2.511,2.512,5465724.97,-7.750891518742975e-05,39.25522880050677,43.00355544039965,48.14814814814815
3,510050.SH,20100107,2.513,2.526,2.449,2.462,8942675.14,-0.0022426300498770146,29.69318776402357,38.566766214940955,25.71319893495631
4,510050.SH,20100108,2.458,2.468,2.427,2.462,8854760.13,-0.0033719114816954665,27.84143552084333,34.99165598357508,25.71319893495631
5,510050.SH,20100111,2.6,2.6,2.462,2.473,13548809.94,-0.003517015604326712,27.424155472469696,32.46915581320662,33.60657221653379
6,510050.SH,20100112,2.462,2.506,2.428,2.505,12172625.81,-0.0020998389980806387,33.31167204908381,32.74999455849901,50.18814369109439
7,510050.SH,20100113,2.452,2.457,2.39,2.394,14207432.27,-0.006394954707679368,22.84270200097651,29.44756370599151,25.964535377751133
8,510050.SH,20100114,2.41,2.424,2.38,2.416,8782125.18,-0.008180439527469385,20.68301345519646,26.526046955726493,32.87931680065249
9,510050.SH,20100115,2.416,2.44,2.399,2.422,6523284.51,-0.009018942380373929,20.152312000434037,24.40146863729567,34.67138829750675
10,510050.SH,20100118,2.412,2.418,2.398,2.415,5088502.26,-0.009871303589319869,18.737904969986342,22.513614081525894,33.54607825972076
11,510050.SH,20100119,2.421,2.448,2.418,2.431,9716637.74,-0.00948301961275444,20.219209373930305,21.748812512327362,38.46248223462673
12,510050.SH,20100120,2.435,2.436,2.354,2.356,7692516.44,-0.013305874292171449,13.750475625980608,19.082700216878443,28.003924334040306
13,510050.SH,20100121,2.361,2.389,2.347,2.376,11077709.79,-0.014835392994938523,12.987800614948851,17.051067016235244,33.21877964428758
14,510050.SH,20100122,2.35,2.4,2.318,2.377,11702915.93,-0.015740252691161416,19.119526651100617,17.740553561190367,33.47822860273794
15,510050.SH,20100125,2.352,2.392,2.35,2.355,7971761.04,-0.01756330952729801,21.619252779390813,19.033453300590516,30.6564269676132
16,510050.SH,20100126,2.356,2.361,2.301,2.309,9614014.28,-0.021582374626946343,16.226894143176644,18.09793358145256,25.766150771316063
17,510050.SH,20100127,2.313,2.319,2.261,2.262,10101134.45,-0.027358722376834343,10.996182548213998,15.730683237039703,21.91886366447318
18,510050.SH,20100128,2.263,2.269,2.235,2.25,5968602.59,-0.032234916228425003,9.678206205851604,13.713190893310335,21.054458790341087
19,510050.SH,20100129,2.238,2.279,2.231,2.244,6200918.49,-0.035995348289272755,8.449065273947204,11.958482353522623,20.61666235820094
20,510050.SH,20100201,2.241,2.241,2.186,2.208,7001223.48,-0.0408510749606652,8.566043515964834,10.827669407670026,18.174737893942023
21,510050.SH,20100202,2.225,2.265,2.21,2.216,6565432.87,-0.04358706448320282,10.383592873571612,10.679643896303887,20.43019378052327
22,510050.SH,20100203,2.227,2.283,2.193,2.282,10953975.2,-0.040708316343536666,21.875666277085138,14.411651356564303,36.08328194036924
23,510050.SH,20100204,2.261,2.279,2.247,2.265,7284769.51,-0.03916066457681078,27.36694903909239,18.730083917406997,34.216160057898676
24,510050.SH,20100205,2.225,2.234,2.206,2.219,6526724.33,-0.04069395104951745,24.53034697844252,20.663504937752172,29.73286797950459
25,510050.SH,20100208,2.22,2.234,2.202,2.212,3499845.98,-0.041902151554237044,22.869855379112117,21.398955084872153,29.10783834289792
26,510050.SH,20100209,2.208,2.237,2.204,2.228,4088552.83,-0.04121976259212312,29.679559943463154,24.159156704402484,32.59569073115604
27,510050.SH,20100210,2.246,2.264,2.242,2.263,3489611.22,-0.03770458625943007,46.24685439529845,31.521722601367802,39.59659361791162
28,510050.SH,20100211,2.262,2.278,2.258,2.268,2220589.06,-0.03416301885706874,59.009930421607855,40.68445854144782,40.546606905371775
29,510050.SH,20100212,2.275,2.291,2.271,2.287,2296410.32,-0.029621772414371694,71.31274273005148,50.8938866043157,44.141809679575836
30,510050.SH,20100222,2.287,2.294,2.269,2.271,3950442.99,-0.02690191996761948,73.28440274412668,58.35739198425269,41.84692252662869
31,510050.SH,20100223,2.261,2.268,2.207,2.23,5768024.3,-0.027483595256734716,59.00119603231634,58.57199333360724,36.596446542375105
