,trade_date
0,20100104
1,20100105
2,20100106
3,20100107
4,20100112
5,20100113
6,20100114
7,20100115
8,20100118
9,20100119
10,20100120
11,20100121
12,20100126
13,20100127
14,20100128
15,20100129
16,20100201
17,20100202
18,20100203
19,20100204
20,20100205
21,20100208
22,20100209
23,20100210
24,20100211
25,20100212
26,20100222
27,20100223
28,20100224
29,20100225
30,20100226
31,20100303
32,20100304
33,20100315
34,20100316
35,20100317
36,20100318
37,20100319
38,20100322
39,20100323
40,20100324
41,20100329
42,20100330
43,20100331
44,20100401
45,20100402
46,20100406
47,20100407
48,20100413
49,20100414
50,20100415
51,20100504
52,20100505
53,20100506
54,20100507
55,20100510
56,20100511
57,20100512
58,20100513
59,20100517
60,20100521
61,20100602
62,20100607
63,20100610
64,20100611
65,20100618
66,20100621
67,20100622
68,20100624
69,20100625
70,20100629
71,20100630
72,20100701
73,20100702
74,20100705
75,20100706
76,20100707
77,20100708
78,20100709
79,20100713
80,20100714
81,20100715
82,20100716
83,20100719
84,20100720
85,20100721
86,20100722
87,20100723
88,20100728
89,20100729
90,20100730
91,20100802
92,20100803
93,20100804
94,20100805
95,20100806
96,20100809
97,20100810
98,20100811
99,20100812
100,20100813
101,20100816
102,20100818
103,20100819
104,20100820
105,20100823
106,20100824
107,20100825
108,20100826
109,20100827
110,20100830
111,20100831
112,20100901
113,20100902
114,20100903
115,20100906
116,20100907
117,20100908
118,20100909
119,20100910
120,20100913
121,20100914
122,20100915
123,20100916
124,20100917
125,20100920
126,20100927
127,20100928
128,20100930
129,20101008
130,20101011
131,20101012
132,20101013
133,20101014
134,20101015
135,20101018
136,20101019
137,20101020
138,20101021
139,20101022
140,20101025
141,20101026
142,20101027
143,20101029
144,20101101
145,20101102
146,20101103
147,20101104
148,20101105
149,20101108
150,20101109
151,20101110
152,20101111
153,20101112
154,20101115
155,20101125
156,20101126
157,20101129
158,20101130
159,20101201
160,20101202
161,20101206
162,20101207
163,20101208
164,20101209
165,20101210
166,20101213
167,20101214
168,20101216
169,20101217
170,20101220
171,20101221
172,20101222
173,20101223
174,20101224
175,20101227
176,20101228
177,20101229
178,20101230
179,20101231
180,20110104
181,20110105
182,20110106
183,20110107
184,20110111
185,20110112
186,20110113
187,20110114
188,20110117
189,20110118
190,20110119
191,20110120
192,20110121
193,20110124
194,20110125
195,20110126
196,20110127
197,20110128
198,20110131
199,20110201
200,20110209
201,20110210
202,20110211
203,20110214
204,20110215
205,20110216
206,20110217
207,20110218
208,20110221
209,20110222
210,20110223
211,20110224
212,20110225
213,20110228
214,20110301
215,20110302
216,20110303
217,20110304
218,20110307
219,20110308
220,20110309
221,20110310
222,20110311
223,20110314
224,20110315
225,20110317
226,20110318
227,20110321
228,20110329
229,20110330
230,20110331
231,20110401
232,20110406
233,20110407
234,20110411
235,20110412
236,20110414
237,20110415
238,20110418
239,20110420
240,20110427
241,20110428
242,20110503
243,20110504
244,20110505
245,20110506
246,20110509
247,20110510
248,20110511
249,20110519
250,20110520
251,20110523
252,20110524
253,20110526
254,20110527
255,20110601
256,20110602
257,20110607
258,20110610
259,20110613
260,20110615
261,20110616
262,20110617
263,20110620
264,20110621
265,20110622
266,20110623
267,20110624
268,20110627
269,20110628
270,20110629
271,20110630
272,20110701
273,20110704
274,20110705
275,20110706
276,20110707
277,20110708
278,20110711
279,20110712
280,20110713
281,20110714
282,20110715
283,20110718
284,20110719
285,20110720
286,20110721
287,20110722
288,20110725
289,20110727
290,20110728
291,20110729
292,20110801
293,20110802
294,20110803
295,20110804
296,20110805
297,20110808
298,20110809
299,20110810
300,20110811
301,20110812
302,20110816
303,20110817
304,20110818
305,20110822
306,20110823
307,20110824
308,20110825
309,20110829
310,20110830
311,20110831
312,20110901
313,20110902
314,20110905
315,20110906
316,20110907
317,20110908
318,20110913
319,20110914
320,20110919
321,20110920
322,20110921
323,20110922
324,20110923
325,20110926
326,20110927
327,20110928
328,20110929
329,20110930
330,20111010
331,20111011
332,20111013
333,20111017
334,20111018
335,20111019
336,20111021
337,20111024
338,20111025
339,20111026
340,20111027
341,20111028
342,20111031
343,20111101
344,20111102
345,20111107
346,20111108
347,20111109
348,20111110
349,20111111
350,20111114
351,20111115
352,20111116
353,20111117
354,20111118
355,20111121
356,20111122
357,20111123
358,20111124
359,20111125
360,20111130
361,20111201
362,20111202
363,20111205
364,20111206
365,20111207
366,20111208
367,20111212
368,20111213
369,20111214
370,20111216
371,20111219
372,20111222
373,20111226
374,20111227
375,20111228
376,20111229
377,20111230
378,20120104
379,20120105
380,20120106
381,20120109
382,20120110
383,20120111
384,20120112
385,20120113
386,20120116
387,20120117
388,20120118
389,20120119
390,20120120
391,20120201
392,20120202
393,20120203
394,20120206
395,20120207
396,20120208
397,20120209
398,20120210
399,20120213
400,20120214
401,20120215
402,20120216
403,20120217
404,20120220
405,20120221
406,20120222
407,20120224
408,20120227
409,20120306
410,20120312
411,20120314
412,20120315
413,20120316
414,20120319
415,20120320
416,20120323
417,20120326
418,20120327
419,20120328
420,20120329
421,20120405
422,20120406
423,20120410
424,20120412
425,20120413
426,20120416
427,20120418
428,20120419
429,20120420
430,20120423
431,20120424
432,20120425
433,20120427
434,20120502
435,20120503
436,20120504
437,20120507
438,20120509
439,20120510
440,20120514
441,20120515
442,20120516
443,20120517
444,20120521
445,20120524
446,20120525
447,20120601
448,20120604
449,20120605
450,20120606
451,20120607
452,20120608
453,20120611
454,20120612
455,20120613
456,20120614
457,20120615
458,20120618
459,20120619
460,20120621
461,20120625
462,20120627
463,20120702
464,20120703
465,20120704
466,20120705
467,20120706
468,20120709
469,20120710
470,20120711
471,20120712
472,20120713
473,20120716
474,20120717
475,20120718
476,20120719
477,20120720
478,20120723
479,20120724
480,20120725
481,20120726
482,20120727
483,20120730
484,20120731
485,20120801
486,20120802
487,20120803
488,20120806
489,20120807
490,20120808
491,20120809
492,20120810
493,20120813
494,20120814
495,20120815
496,20120816
497,20120817
498,20120820
499,20120821
500,20120822
501,20120823
502,20120824
503,20120827
504,20120828
505,20120829
506,20120830
507,20120831
508,20120904
509,20120905
510,20120906
511,20120907
512,20120910
513,20120911
514,20120912
515,20120913
516,20120914
517,20120917
518,20120918
519,20120919
520,20120920
521,20120921
522,20120924
523,20120925
524,20120926
525,20120927
526,20120928
527,20121008
528,20121009
529,20121010
530,20121011
531,20121012
532,20121015
533,20121016
534,20121017
535,20121018
536,20121019
537,20121022
538,20121023
539,20121024
540,20121025
541,20121026
542,20121029
543,20121030
544,20121031
545,20121101
546,20121102
547,20121105
548,20121107
549,20121108
550,20121109
551,20121112
552,20121113
553,20121114
554,20121115
555,20121116
556,20121119
557,20121120
558,20121121
559,20121122
560,20121123
561,20121126
562,20121127
563,20121128
564,20121129
565,20121130
566,20121203
567,20121204
568,20121205
569,20121206
570,20121207
571,20121211
572,20121212
573,20121213
574,20121214
575,20121217
576,20121218
577,20121219
578,20121220
579,20121221
580,20121224
581,20121225
582,20121226
583,20121227
584,20121228
585,20121231
586,20130104
587,20130107
588,20130108
589,20130109
590,20130110
591,20130111
592,20130114
593,20130115
594,20130116
595,20130117
596,20130118
597,20130121
598,20130122
599,20130123
600,20130124
601,20130125
602,20130128
603,20130129
604,20130130
605,20130131
606,20130201
607,20130204
608,20130205
609,20130206
610,20130207
611,20130208
612,20130218
613,20130219
614,20130220
615,20130221
616,20130222
617,20130225
618,20130226
619,20130227
620,20130228
621,20130301
622,20130304
623,20130305
624,20130306
625,20130307
626,20130308
627,20130312
628,20130313
629,20130314
630,20130315
631,20130318
632,20130319
633,20130320
634,20130321
635,20130322
636,20130325
637,20130326
638,20130327
639,20130328
640,20130329
641,20130401
642,20130402
643,20130403
644,20130408
645,20130409
646,20130410
647,20130411
648,20130412
649,20130415
650,20130416
651,20130417
652,20130418
653,20130419
654,20130422
655,20130423
656,20130424
657,20130425
658,20130426
659,20130502
660,20130503
661,20130506
662,20130507
663,20130508
664,20130509
665,20130510
666,20130513
667,20130514
668,20130515
669,20130516
670,20130517
671,20130520
672,20130521
673,20130522
674,20130523
675,20130524
676,20130527
677,20130528
678,20130529
679,20130530
680,20130531
681,20130603
682,20130604
683,20130605
684,20130606
685,20130607
686,20130618
687,20130619
688,20130620
689,20130701
690,20130702
691,20130703
692,20130704
693,20130708
694,20130709
695,20130710
696,20130711
697,20130712
698,20130715
699,20130716
700,20130717
701,20130718
702,20130719
703,20130722
704,20130723
705,20130724
706,20130725
707,20130726
708,20130729
709,20130730
710,20130731
711,20130801
712,20130802
713,20130805
714,20130806
715,20130807
716,20130808
717,20130809
718,20130812
719,20130813
720,20130814
721,20130815
722,20130819
723,20130820
724,20130821
725,20130822
726,20130823
727,20130826
728,20130905
729,20130906
730,20130909
731,20130910
732,20130911
733,20130912
734,20130913
735,20130916
736,20130917
737,20130918
738,20130923
739,20130924
740,20130925
741,20130926
742,20130927
743,20130930
744,20131008
745,20131009
746,20131010
747,20131011
748,20131014
749,20131015
750,20131016
751,20131017
752,20131018
753,20131021
754,20131022
755,20131023
756,20131024
757,20131025
758,20131028
759,20131029
760,20131030
761,20131031
762,20131101
763,20131104
764,20131105
765,20131106
766,20131107
767,20131108
768,20131111
769,20131112
770,20131113
771,20131114
772,20131115
773,20131118
774,20131119
775,20131120
776,20131121
777,20131122
778,20131125
779,20131126
780,20131127
781,20131128
782,20131129
783,20131202
784,20131203
785,20131204
786,20131205
787,20131206
788,20131209
789,20131210
790,20131211
791,20131212
792,20131213
793,20131216
794,20131217
795,20131218
796,20131219
797,20131220
798,20131223
799,20131224
800,20131225
801,20131226
802,20131227
803,20131230
804,20131231
805,20140102
806,20140103
807,20140106
808,20140107
809,20140108
810,20140109
811,20140110
812,20140113
813,20140114
814,20140115
815,20140116
816,20140117
817,20140120
818,20140121
819,20140122
820,20140123
821,20140124
822,20140127
823,20140128
824,20140129
825,20140130
826,20140207
827,20140210
828,20140211
829,20140212
830,20140213
831,20140214
832,20140218
833,20140219
834,20140220
835,20140221
836,20140224
837,20140225
838,20140226
839,20140227
840,20140228
841,20140303
842,20140304
843,20140305
844,20140306
845,20140307
846,20140310
847,20140311
848,20140312
849,20140313
850,20140314
851,20140317
852,20140318
853,20140319
854,20140320
855,20140321
856,20140324
857,20140325
858,20140326
859,20140327
860,20140328
861,20140331
862,20140401
863,20140402
864,20140403
865,20140404
866,20140408
867,20140409
868,20140410
869,20140411
870,20140414
871,20140415
872,20140416
873,20140417
874,20140418
875,20140421
876,20140422
877,20140423
878,20140424
879,20140425
880,20140428
881,20140429
882,20140430
883,20140505
884,20140506
885,20140507
886,20140508
887,20140509
888,20140512
889,20140513
890,20140514
891,20140515
892,20140516
893,20140519
894,20140520
895,20140521
896,20140522
897,20140523
898,20140526
899,20140527
900,20140528
901,20140529
902,20140530
903,20140603
904,20140604
905,20140605
906,20140606
907,20140609
908,20140610
909,20140611
910,20140612
911,20140613
912,20140616
913,20140617
914,20140618
915,20140619
916,20140620
917,20140623
918,20140624
919,20140625
920,20140626
921,20140627
922,20140630
923,20140701
924,20140702
925,20140703
926,20140704
927,20140707
928,20140708
929,20140709
930,20140710
931,20140711
932,20140714
933,20140715
934,20140716
935,20140717
936,20140718
937,20140721
938,20140722
939,20140723
940,20140724
941,20140725
942,20140728
943,20140729
944,20140730
945,20140731
946,20140801
947,20140804
948,20140806
949,20140807
950,20140808
951,20140811
952,20140812
953,20140813
954,20140814
955,20140815
956,20140818
957,20140819
958,20140820
959,20140821
960,20140822
961,20140825
962,20140826
963,20140827
964,20140828
965,20140829
966,20140901
967,20140902
968,20140903
969,20140904
970,20140905
971,20140909
972,20140910
973,20140911
974,20140912
975,20140915
976,20140916
977,20140917
978,20140918
979,20140919
980,20140922
981,20140923
982,20140924
983,20140925
984,20140926
985,20140929
986,20140930
987,20141008
988,20141009
989,20141010
990,20141013
991,20141014
992,20141015
993,20141016
994,20141017
995,20141020
996,20141021
997,20141022
998,20141023
999,20141024
1000,20141027
1001,20141028
1002,20141029
1003,20141030
1004,20141031
1005,20141103
1006,20141104
1007,20141105
1008,20141106
1009,20141107
1010,20141110
1011,20141111
1012,20141112
1013,20141113
1014,20141114
1015,20141117
1016,20141118
1017,20141119
1018,20141205
1019,20141208
1020,20141209
1021,20141210
1022,20141211
1023,20141212
1024,20141215
1025,20141216
1026,20141217
1027,20141230
1028,20141231
1029,20150105
1030,20150106
1031,20150107
1032,20150108
1033,20150109
1034,20150112
1035,20150113
1036,20150114
1037,20150115
1038,20150116
1039,20150119
1040,20150120
1041,20150121
1042,20150122
1043,20150123
1044,20150126
1045,20150127
1046,20150128
1047,20150129
1048,20150130
1049,20150202
1050,20150203
1051,20150204
1052,20150205
1053,20150206
1054,20150209
1055,20150210
1056,20150211
1057,20150212
1058,20150213
1059,20150216
1060,20150217
1061,20150225
1062,20150226
1063,20150227
1064,20150302
1065,20150303
1066,20150304
1067,20150305
1068,20150306
1069,20150309
1070,20150310
1071,20150311
1072,20150312
1073,20150313
1074,20150316
1075,20150317
1076,20150318
1077,20150319
1078,20150320
1079,20150323
1080,20150324
1081,20150325
1082,20150326
1083,20150327
1084,20150417
1085,20150420
1086,20150421
1087,20150527
1088,20150528
1089,20150529
1090,20150601
1091,20150602
1092,20150603
1093,20150604
1094,20150605
1095,20150608
1096,20150609
1097,20150610
1098,20150611
1099,20150612
1100,20150615
1101,20150616
1102,20150617
1103,20150618
1104,20150619
1105,20150623
1106,20150624
1107,20150626
1108,20150629
1109,20150630
1110,20150701
1111,20150702
1112,20150703
1113,20150706
1114,20150715
1115,20150716
1116,20150717
1117,20150720
1118,20150721
1119,20150722
1120,20150723
1121,20150724
1122,20150727
1123,20150728
1124,20150729
1125,20150730
1126,20150731
1127,20150803
1128,20150804
1129,20150805
1130,20150806
1131,20150807
1132,20150810
1133,20150811
1134,20150812
1135,20150813
1136,20150814
1137,20150817
1138,20150818
1139,20150819
1140,20150820
1141,20150821
1142,20150824
1143,20150825
1144,20150826
1145,20150827
1146,20150828
1147,20150831
1148,20150901
1149,20150902
1150,20150907
1151,20150908
1152,20150909
1153,20150910
1154,20150911
1155,20150914
1156,20150915
1157,20150916
1158,20150917
1159,20150918
1160,20150921
1161,20150922
1162,20150923
1163,20150924
1164,20150925
1165,20150928
1166,20150929
1167,20150930
1168,20151008
1169,20151009
1170,20151012
1171,20151013
1172,20151014
1173,20151015
1174,20151016
1175,20151019
1176,20151020
1177,20151021
1178,20151022
1179,20151023
1180,20151026
1181,20151027
1182,20151028
1183,20151029
1184,20151030
1185,20151102
1186,20151103
1187,20151104
1188,20151105
1189,20151106
1190,20151109
1191,20151110
1192,20151111
1193,20151112
1194,20151113
1195,20151116
1196,20151117
1197,20151118
1198,20151119
1199,20151120
1200,20151123
1201,20151124
1202,20151125
1203,20151126
1204,20151130
1205,20151201
1206,20151202
1207,20151203
1208,20151204
1209,20151207
1210,20151208
1211,20151209
1212,20151210
1213,20151214
1214,20151215
1215,20151216
1216,20151217
1217,20151218
1218,20151221
1219,20151222
1220,20151223
1221,20151224
1222,20151225
1223,20151228
1224,20151229
1225,20151230
1226,20151231
1227,20160104
1228,20160105
1229,20160106
1230,20160107
1231,20160108
1232,20160111
1233,20160112
1234,20160113
1235,20160114
1236,20160115
1237,20160118
1238,20160119
1239,20160120
1240,20160121
1241,20160122
1242,20160125
1243,20160126
1244,20160127
1245,20160128
1246,20160129
1247,20160201
1248,20160202
1249,20160203
1250,20160204
1251,20160205
1252,20160215
1253,20160216
1254,20160217
1255,20160218
1256,20160219
1257,20160222
1258,20160223
1259,20160224
1260,20160225
1261,20160226
1262,20160229
1263,20160301
1264,20160302
1265,20160303
1266,20160304
1267,20160307
1268,20160308
1269,20160309
1270,20160310
1271,20160311
1272,20160314
1273,20160315
1274,20160316
1275,20160317
1276,20160318
1277,20160321
1278,20160322
1279,20160323
1280,20160324
1281,20160325
1282,20160328
1283,20160329
1284,20160330
1285,20160331
1286,20160401
1287,20160405
1288,20160406
1289,20160407
1290,20160408
1291,20160411
1292,20160413
1293,20160414
1294,20160415
1295,20160418
1296,20160419
1297,20160420
1298,20160421
1299,20160422
1300,20160425
1301,20160426
1302,20160427
1303,20160428
1304,20160429
1305,20160503
1306,20160504
1307,20160505
1308,20160506
1309,20160509
1310,20160510
1311,20160511
1312,20160512
1313,20160513
1314,20160516
1315,20160517
1316,20160518
1317,20160519
1318,20160520
1319,20160523
1320,20160525
1321,20160526
1322,20160527
1323,20160530
1324,20160531
1325,20160601
1326,20160602
1327,20160603
1328,20160606
1329,20160607
1330,20160608
1331,20160613
1332,20160614
1333,20160615
1334,20160616
1335,20160617
1336,20160620
