,trade_date
0,20120104
1,20120105
2,20120106
3,20120109
4,20120110
5,20120111
6,20120112
7,20120113
8,20120117
9,20120118
10,20120119
11,20120120
12,20120130
13,20120131
14,20120201
15,20120202
16,20120203
17,20120206
18,20120207
19,20120208
20,20120209
21,20120210
22,20120213
23,20120214
24,20120215
25,20120216
26,20120217
27,20120220
28,20120221
29,20120223
30,20120224
31,20120227
32,20120228
33,20120229
34,20120301
35,20120302
36,20120305
37,20120306
38,20120307
39,20120308
40,20120309
41,20120312
42,20120313
43,20120314
44,20120315
45,20120316
46,20120320
47,20120321
48,20120322
49,20120326
50,20120327
51,20120405
52,20120406
53,20120409
54,20120410
55,20120411
56,20120412
57,20120413
58,20120416
59,20120417
60,20120418
61,20120425
62,20120426
63,20120427
64,20120502
65,20120503
66,20120504
67,20120507
68,20120508
69,20120509
70,20120510
71,20120511
72,20120514
73,20120515
74,20120516
75,20120517
76,20120518
77,20120521
78,20120522
79,20120523
80,20120524
81,20120525
82,20120528
83,20120529
84,20120530
85,20120531
86,20120601
87,20120604
88,20120605
89,20120606
90,20120607
91,20120608
92,20120724
93,20120725
94,20120726
95,20120727
96,20120730
97,20120731
98,20120801
99,20120802
100,20120803
101,20120806
102,20120807
103,20120808
104,20120809
105,20120810
106,20120813
107,20120814
108,20120815
109,20120816
110,20120817
111,20120820
112,20120821
113,20120822
114,20120823
115,20120824
116,20120827
117,20120828
118,20120829
119,20120830
120,20120831
121,20120903
122,20120904
123,20120905
124,20120906
125,20120907
126,20120910
127,20120911
128,20120912
129,20120913
130,20120914
131,20120917
132,20120918
133,20120919
134,20120920
135,20120921
136,20120924
137,20120925
138,20120926
139,20120927
140,20120928
141,20121008
142,20121009
143,20121010
144,20121011
145,20121012
146,20121015
147,20121016
148,20121017
149,20121018
150,20121019
151,20121022
152,20121023
153,20121024
154,20121025
155,20121026
156,20121029
157,20121030
158,20121031
159,20121101
160,20121102
161,20121105
162,20121106
163,20121107
164,20121108
165,20121109
166,20121112
167,20121113
168,20121114
169,20121115
170,20121116
171,20121119
172,20121120
173,20121121
174,20121211
175,20121212
176,20121213
177,20121214
178,20121217
179,20121218
180,20121219
181,20121220
182,20121221
183,20121224
184,20121225
185,20121226
186,20121227
187,20121228
188,20121231
189,20130104
190,20130107
191,20130108
192,20130109
193,20130110
194,20130111
195,20130114
196,20130115
197,20130116
198,20130118
199,20130121
200,20130124
201,20130125
202,20130128
203,20130129
204,20130130
205,20130131
206,20130201
207,20130204
208,20130205
209,20130206
210,20130207
211,20130208
212,20130218
213,20130219
214,20130220
215,20130221
216,20130222
217,20130225
218,20130226
219,20130227
220,20130228
