,ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
0,510050.SH,20100104,2.559,2.569,2.572,2.51,2.512,-0.047,-1.8367,7864332.06,2000121.183
1,510050.SH,20100105,2.512,2.525,2.562,2.489,2.544,0.032,1.2739,10998787.55,2781187.358
2,510050.SH,20100106,2.544,2.539,2.55,2.511,2.512,-0.032,-1.2579,5465724.97,1384265.012
3,510050.SH,20100107,2.512,2.513,2.526,2.449,2.462,-0.05,-1.9904,8942675.14,2226035.249
4,510050.SH,20100108,2.462,2.458,2.468,2.427,2.462,0.0,0.0,8854760.13,2168222.331
5,510050.SH,20100111,2.462,2.6,2.6,2.462,2.473,0.011,0.4468,13548809.94,3409013.315
6,510050.SH,20100112,2.473,2.462,2.506,2.428,2.505,0.032,1.294,12172625.81,3008190.197
7,510050.SH,20100113,2.505,2.452,2.457,2.39,2.394,-0.111,-4.4311,14207432.27,3444822.693
8,510050.SH,20100114,2.394,2.41,2.424,2.38,2.416,0.022,0.919,8782125.18,2113674.94
9,510050.SH,20100115,2.416,2.416,2.44,2.399,2.422,0.006,0.2483,6523284.51,1578854.361
10,510050.SH,20100118,2.422,2.412,2.418,2.398,2.415,-0.007,-0.289,5088502.26,1226176.35
11,510050.SH,20100119,2.415,2.421,2.448,2.418,2.431,0.016,0.6625,9716637.74,2364288.724
12,510050.SH,20100120,2.431,2.435,2.436,2.354,2.356,-0.075,-3.0852,7692516.44,1837559.3
13,510050.SH,20100121,2.356,2.361,2.389,2.347,2.376,0.02,0.8489,11077709.79,2620563.032
14,510050.SH,20100122,2.376,2.35,2.4,2.318,2.377,0.001,0.0421,11702915.93,2762052.036
15,510050.SH,20100125,2.377,2.352,2.392,2.35,2.355,-0.022,-0.9255,7971761.04,1889290.383
16,510050.SH,20100126,2.355,2.356,2.361,2.301,2.309,-0.046,-1.9533,9614014.28,2235841.187
17,510050.SH,20100127,2.309,2.313,2.319,2.261,2.262,-0.047,-2.0355,10101134.45,2307873.556
