#{"t_start": 1649325479.7278776, "env_id": null}
r,l,t
456.985796,776,3.638596
557.452598,776,7.264346
429.281476,776,10.866372
403.41333,776,14.49945
212.212499,776,18.136048
434.327143,776,21.783386
238.002127,776,25.395882
327.554363,776,29.016472
426.214927,776,32.640603
468.48179,776,36.259607
412.129867,776,39.884858
406.552687,776,43.506532
591.98599,776,47.132506
308.566109,776,50.757312
536.144618,776,54.354586
727.702903,776,57.964908
945.512788,776,61.571749
843.506281,776,65.167195
367.562452,776,68.770103
337.752451,776,72.389233
583.788302,776,76.022124
953.918453,776,79.813086
1209.191014,776,83.715064
791.536677,776,87.313752
851.175994,776,90.983053
867.462276,776,94.619342
280.685446,776,98.279155
511.993383,776,101.899615
671.531894,776,105.539983
806.673717,776,109.157043
844.176069,776,112.778897
786.188147,776,116.411972
957.941717,776,120.033108
1164.066765,776,123.775004
774.092218,776,127.515651
900.181269,776,131.275969
629.21743,776,134.99791
1263.116328,776,138.628702
852.446726,776,142.26494
750.211533,776,145.882956
845.655114,776,149.515675
742.854912,776,153.155584
972.319511,776,156.787334
702.116435,776,160.44041
1073.363842,776,164.047865
405.314222,776,167.698578
939.14003,776,171.33426
421.0177,776,174.953955
660.168171,776,178.568713
697.116225,776,182.159328
508.663977,776,185.774983
241.843065,776,189.396446
293.80926,776,193.000714
873.669434,776,196.599738
633.575386,776,200.188346
712.602235,776,203.806379
610.660029,776,207.423613
829.443213,776,211.046228
636.328062,776,214.677099
572.907891,776,218.274838
813.466248,776,221.911595
743.064758,776,225.541361
652.752344,776,229.126806
657.86243,776,232.727314
556.549673,776,236.33017
529.630363,776,239.924869
488.318056,776,243.530679
515.189359,776,247.146496
627.345363,776,250.747123
547.042686,776,254.354187
501.182059,776,257.97796
494.170414,776,261.579614
568.774752,776,265.191278
548.972606,776,268.781224
490.351347,776,272.402728
487.269794,776,276.011557
469.227763,776,279.631248
417.216728,776,283.243058
703.430424,776,286.84555
767.633974,776,290.443051
817.67899,776,294.054826
805.292435,776,297.651502
843.89664,776,301.268974
708.218448,776,304.884611
723.551222,776,308.491263
943.463084,776,312.129363
557.275099,776,315.721213
979.546846,776,319.329839
1011.797855,776,322.942638
1004.426143,776,326.564296
1304.651181,776,330.179056
819.678367,776,333.780669
902.934915,776,337.369623
736.494749,776,341.013913
810.163764,776,344.608941
368.587678,776,348.222316
412.166384,776,351.825531
493.927103,776,355.430894
347.08649,776,359.106443
402.213052,776,362.73458
376.755109,776,366.330545
340.760369,776,369.930763
385.961668,776,373.5518
393.523282,776,377.137352
381.029469,776,380.737526
330.385503,776,384.352004
365.905901,776,387.959602
376.526992,776,391.575596
359.824092,776,395.165859
366.376131,776,398.77072
366.012935,776,402.400401
379.458679,776,406.011483
368.660167,776,409.60548
