#{"t_start": 1649852527.9805398, "env_id": null}
r,l,t
365.613552,776,2.792886
305.396995,776,3.790796
733.783046,776,9.888168
266.581341,776,11.042679
443.345554,776,12.275656
338.563842,776,18.88278
865.544878,776,20.113086
452.410547,776,26.612991
260.102201,776,27.809682
557.224822,776,29.046402
575.183386,776,35.545262
412.333784,776,36.667863
614.037024,776,37.905567
368.472865,776,44.252442
440.697546,776,45.40349
579.496809,776,51.837087
512.285346,776,52.968115
201.798279,776,54.169209
394.679599,776,60.539915
930.033214,776,61.660935
710.423881,776,62.901065
841.596257,776,69.23946
338.23731,776,70.436121
885.03241,776,77.052271
256.632773,776,78.178295
448.311651,776,79.522231
1038.981855,776,86.083987
584.259017,776,87.239039
1021.261551,776,88.534406
288.140683,776,94.880099
779.940599,776,96.059771
368.148446,776,102.493013
704.113338,776,103.609612
459.6016,776,104.81832
1319.325885,776,111.295736
617.092963,776,112.496424
773.12512,776,119.218511
703.489427,776,120.443811
416.052355,776,121.66292
426.191957,776,128.04524
613.056982,776,129.15425
384.964903,776,130.373864
780.369848,776,136.714586
550.332264,776,137.846199
572.695425,776,144.2798
652.540689,776,145.404823
580.541997,776,146.587476
462.439664,776,152.960202
590.55871,776,154.076809
760.134233,776,155.300506
765.691808,776,161.619805
769.196533,776,162.763845
940.442349,776,169.16712
653.17361,776,170.273704
629.400951,776,171.460784
870.853976,776,178.017713
1203.336547,776,179.182774
650.262447,776,180.412892
1385.169173,776,186.830266
1105.323756,776,188.043947
968.502962,776,194.474982
1643.573426,776,195.609454
1055.256512,776,196.806543
1011.769849,776,203.164566
583.334185,776,204.298178
698.068408,776,210.727613
1437.806843,776,211.849637
951.146074,776,213.015697
480.651369,776,219.435198
619.28801,776,220.557222
1122.526694,776,221.755315
1110.857241,776,228.125863
585.27519,776,229.256464
680.723874,776,235.709994
1478.563508,776,236.842625
1570.386404,776,238.032882
1227.303811,776,244.469533
1007.231005,776,245.573537
1346.863133,776,246.796225
1031.356171,776,253.129289
858.238537,776,254.270513
1489.114215,776,260.675408
792.21363,776,261.778412
909.055844,776,262.953483
1344.146601,776,269.310084
860.411024,776,270.422604
1272.564691,776,271.673745
913.338553,776,278.142727
728.625142,776,279.286895
1412.771528,776,285.677461
788.068974,776,286.785545
972.036977,776,287.984215
1077.678625,776,294.364191
1122.924044,776,295.468585
752.84802,776,296.750933
1020.441214,776,303.141927
1111.039746,776,304.297981
1253.796576,776,310.915778
1170.534517,776,312.074444
1026.296295,776,313.293218
1397.83335,776,319.993266
882.082705,776,321.119902
998.203667,776,327.601412
870.16389,776,328.707612
1172.597217,776,329.87377
1089.019816,776,336.24668
1068.583218,776,337.348683
875.697687,776,338.564379
1165.822834,776,344.891291
866.451704,776,346.018317
1052.32282,776,352.42247
1035.980074,776,353.534482
930.29707,776,354.709127
1233.720534,776,361.066701
1169.28088,776,362.166701
1259.414835,776,363.390403
1188.000515,776,369.734942
1101.870109,776,370.883572
1356.236001,776,377.285775
1201.662282,776,378.389366
1294.285643,776,379.569019
907.86982,776,385.940563
1097.435443,776,387.047135
1031.488288,776,388.270247
1318.106383,776,394.721756
1140.695201,776,395.897825
1036.936634,776,402.541057
948.804422,776,403.681094
1194.87721,776,404.886193
971.59865,776,411.262655
1241.750864,776,412.385678
1040.086515,776,418.826369
1323.733578,776,419.938381
1307.471504,776,421.144479
975.818444,776,427.751851
1146.027936,776,428.88847
903.495011,776,430.142773
1207.032645,776,436.577986
1463.363417,776,437.741046
1352.445952,776,444.297057
943.309304,776,445.456876
1075.886821,776,446.669578
1060.187396,776,453.206066
1110.50823,776,454.29906
1136.230315,776,455.50975
1337.406273,776,461.909176
1105.618036,776,463.038203
1123.810975,776,469.508187
1271.060926,776,470.606187
1037.163722,776,471.781257
1082.433094,776,478.277515
950.484401,776,479.397121
973.167827,776,480.619556
1023.723114,776,487.086527
1059.038268,776,488.226567
1086.237172,776,494.721627
1134.213654,776,495.926349
1030.474441,776,497.172482
1143.422268,776,503.676311
1061.866082,776,504.857341
944.431208,776,511.377856
1129.936189,776,512.470851
1106.356777,776,513.609887
1257.056264,776,519.985801
1013.385062,776,521.083057
1231.169081,776,522.277144
1103.35823,776,529.011752
1156.012465,776,530.170398
1078.446247,776,536.793187
1053.416906,776,537.883764
952.283409,776,539.086861
1488.889523,776,545.921463
1182.317173,776,547.082113
1153.687959,776,548.32183
1168.659956,776,554.910186
1105.377821,776,556.090852
914.898788,776,562.569862
1047.946013,776,563.718512
1087.485386,776,564.89417
1046.696953,776,571.270894
910.654166,776,572.369544
1165.26875,776,573.582649
1214.405018,776,579.894387
803.990357,776,581.096481
2165.139973,776,587.680227
992.796131,776,588.823843
1201.09592,776,590.036897
1378.40621,776,596.507036
1380.021266,776,597.651659
386.633748,776,598.867767
1240.678609,776,605.351017
1081.68145,776,606.572131
1246.187305,776,613.126828
1352.136137,776,614.240416
989.591549,776,615.459959
1122.475097,776,622.10658
1358.241179,776,623.2091
1190.737821,776,629.6211
1232.377124,776,630.715249
1088.629983,776,631.859289
1212.733715,776,638.605405
1269.681128,776,639.753461
1162.929485,776,641.023803
1276.112242,776,647.378067
1123.028549,776,648.494664
1231.497671,776,655.069386
1139.095916,776,656.207818
1113.754062,776,657.416505
1065.636452,776,663.994635
1312.519326,776,665.145864
1040.145374,776,666.459264
993.994754,776,673.176705
892.183621,776,674.37539
1170.192282,776,680.819267
989.162302,776,681.911261
1239.278775,776,683.075319
1183.74001,776,689.418547
1241.121504,776,690.507203
998.521546,776,691.713128
937.394341,776,698.003571
1066.499164,776,699.141177
1213.975113,776,705.513247
1022.53769,776,706.603815
1185.421911,776,707.782887
951.875372,776,714.124523
1153.053905,776,715.227113
1148.736575,776,721.635079
1049.633068,776,722.732737
883.807786,776,723.889789
1089.171727,776,730.241699
939.379432,776,731.329267
1071.064695,776,732.524516
1239.881411,776,738.845807
1119.543383,776,739.966406
983.39127,776,746.353372
1491.59018,776,747.441363
1208.477757,776,748.605421
1084.825602,776,754.963019
1047.349796,776,756.063174
1088.979552,776,757.26011
1170.159693,776,763.583954
1191.478495,776,764.696967
1103.400326,776,771.236681
1011.68959,776,772.341278
917.482467,776,773.562032
1226.499708,776,780.152167
903.978163,776,781.250758
1002.902504,776,782.51099
1015.535458,776,788.855313
1396.141403,776,790.056411
938.998232,776,796.809259
1088.5967,776,797.932279
1110.644755,776,799.175411
988.220925,776,805.940962
1116.099867,776,807.161768
1071.177052,776,808.416914
1107.16924,776,814.81308
1026.060743,776,815.964717
769.651471,776,822.586625
924.351197,776,823.680619
1019.938174,776,824.872306
1040.689461,776,831.380391
1049.239128,776,832.597613
1026.231629,776,839.264798
1086.811712,776,840.481518
877.387788,776,841.715225
923.139461,776,848.101161
847.252428,776,849.200162
1228.800596,776,850.390834
800.262133,776,856.727139
901.797127,776,857.843156
790.239227,776,864.245484
1191.906999,776,865.341482
1015.938299,776,866.50112
835.065,776,872.860849
1214.647982,776,873.955846
1365.996203,776,875.166542
1072.449267,776,881.478634
843.877935,776,882.658308
1104.706986,776,889.226619
1088.00315,776,890.309606
1019.151182,776,891.573554
1121.235562,776,898.217532
1057.024807,776,899.373185
1383.536241,776,900.649933
1403.293127,776,907.179903
992.036587,776,908.398611
1316.00967,776,914.912779
1042.015948,776,916.036387
1109.367744,776,917.250492
1082.712947,776,923.593386
1064.95305,776,924.69739
1264.508373,776,931.124753
1130.385123,776,932.212845
1108.55519,776,933.354464
1310.83021,776,939.70854
1165.87582,776,940.804129
961.128575,776,941.988206
976.464621,776,948.298585
1426.412923,776,949.412598
1402.472778,776,955.851966
1072.739131,776,956.943962
1135.396378,776,958.105017
1056.168511,776,964.458973
1413.799887,776,965.548776
917.048089,776,966.756876
1153.699628,776,973.079784
1051.63573,776,974.204809
893.28683,776,980.592614
1193.446811,776,981.722643
1052.524283,776,982.891288
1098.764268,776,989.280964
1157.451606,776,990.372957
970.830239,776,991.581639
1274.432307,776,998.026857
1098.938005,776,999.229953
1065.490957,776,1005.992065
1011.324631,776,1007.101672
958.893624,776,1008.295911
1099.991524,776,1014.819043
1281.19644,776,1016.004123
1046.767942,776,1022.62633
1220.137914,776,1023.8014
862.998439,776,1025.03352
