#{"t_start": 1648099435.8192773, "env_id": null}
r,l,t
27.435924,1674,4.835104
114.82401,1674,9.543828
80.788512,1674,14.180636
90.645971,1674,18.74379
161.333739,1674,23.310525
185.655157,1674,27.911977
112.433891,1674,32.474821
44.457057,1674,37.05008
80.08148,1674,41.60598
114.003669,1674,46.160452
153.765497,1674,50.671718
88.096615,1674,55.187419
61.432683,1674,59.761183
104.500577,1674,64.326523
136.196921,1674,68.848227
116.50146,1674,73.385999
98.957064,1674,77.948325
84.921816,1674,82.464267
107.659915,1674,87.083363
5.856332,1674,91.645283
7.988058,1674,96.214296
70.295157,1674,100.810067
149.094571,1674,105.356389
147.787831,1674,109.865088
264.928582,1674,114.376384
359.251571,1674,118.890675
269.631551,1674,123.48504
199.276413,1674,128.10284
201.017717,1674,132.707212
163.527457,1674,137.292599
103.440295,1674,141.906557
107.129804,1674,146.541365
153.957684,1674,151.142139
164.282712,1674,155.728073
105.949917,1674,160.376302
69.341889,1674,165.044552
121.084521,1674,169.621476
90.575456,1674,174.173803
31.307446,1674,178.775585
102.695461,1674,183.366936
-17.44103,1674,187.947292
16.596832,1674,192.546647
115.094316,1674,197.207479
55.447467,1674,201.868309
8.158181,1674,206.443249
46.040686,1674,210.976959
92.994613,1674,215.558127
88.771845,1674,220.079427
67.765548,1674,224.586708
83.445917,1674,229.094987
134.802285,1674,233.592247
247.866277,1674,238.118141
234.373346,1674,242.612421
171.616456,1674,247.076082
150.042555,1674,251.559342
129.086772,1674,256.054781
108.19408,1674,260.543057
102.222886,1674,265.049304
132.166708,1674,269.538988
149.853262,1674,274.003248
78.9342,1674,278.599026
120.060545,1674,283.102721
70.433328,1674,287.599161
108.471314,1674,292.106203
113.473531,1674,296.634085
118.663789,1674,301.106747
110.239825,1674,305.583014
86.064316,1674,310.079701
38.93628,1674,314.599399
101.117556,1674,319.090651
88.249195,1674,323.585866
75.890155,1674,328.120581
72.284902,1674,332.706523
87.022892,1674,337.308092
74.071232,1674,341.869428
80.51511,1674,346.454782
0.485576,1674,351.085182
64.028503,1674,355.611077
58.538184,1674,360.193249
16.56983,1674,364.739201
11.160917,1674,369.288097
22.003238,1674,373.8264
1.177297,1674,378.415754
22.093611,1674,383.002523
95.556681,1674,387.573858
82.791171,1674,392.17622
55.418319,1674,396.744179
-13.049133,1674,401.269482
-2.572811,1674,405.792976
-5.52236,1674,410.338091
-14.450467,1674,414.871187
5.601517,1674,419.457723
44.441409,1674,424.031074
82.670662,1674,428.573801
198.50538,1674,433.060476
50.904817,1674,437.668859
12.509974,1674,442.17273
100.506971,1674,446.691429
19.789575,1674,451.236563
112.33075,1674,455.787458
91.441619,1674,460.333184
118.651808,1674,464.833874
49.214412,1674,469.318013
88.208413,1674,473.796868
113.377853,1674,478.312171
47.217629,1674,482.862512
103.995613,1674,487.41684
97.085702,1674,491.970183
51.844746,1674,496.503307
46.555848,1674,501.013011
29.77734,1674,505.571339
69.946291,1674,510.132672
62.385847,1674,514.680579
92.013324,1674,519.237907
93.664698,1674,523.783231
89.003891,1674,528.349977
36.236749,1674,532.87126
-3.407337,1674,537.374563
-10.873831,1674,541.921299
93.198956,1674,546.490456
88.851839,1674,551.046776
57.246871,1674,555.603065
34.346467,1674,560.167944
49.361397,1674,564.729254
43.536899,1674,569.298588
105.407863,1674,573.862913
24.62254,1674,578.444671
57.817939,1674,583.002712
90.541828,1674,587.55984
86.94904,1674,592.102233
54.709795,1674,596.656966
52.270116,1674,601.189953
72.523907,1674,605.715835
55.409566,1674,610.262635
40.042529,1674,614.807549
21.841654,1674,619.354463
43.650455,1674,623.904786
35.601498,1674,628.455249
82.542358,1674,633.00074
49.760405,1674,637.533638
30.74996,1674,642.065761
51.198897,1674,646.607479
60.785067,1674,651.154976
64.380893,1674,655.804807
46.855808,1674,660.352538
55.393859,1674,664.892251
106.433229,1674,669.433763
68.90745,1674,673.986426
74.419825,1674,678.540353
108.498407,1674,683.096687
136.911999,1674,687.642112
42.856559,1674,692.202046
44.457974,1674,696.762194
74.476906,1674,701.320728
54.001672,1674,705.870262
36.965612,1674,710.423594
54.980981,1674,714.954217
51.390319,1674,719.495525
41.863411,1674,724.050701
56.971374,1674,728.601455
93.723037,1674,733.156325
105.919155,1674,737.715851
45.302328,1674,742.265769
52.124824,1674,746.813907
89.110489,1674,751.363222
76.552796,1674,755.934425
65.478589,1674,760.493165
98.280608,1674,765.041482
76.914033,1674,769.593403
154.227507,1674,774.13831
153.26446,1674,778.694053
133.532952,1674,783.205598
118.384382,1674,787.756908
130.70593,1674,792.32206
110.483193,1674,796.875042
190.451022,1674,801.432964
239.195807,1674,805.991556
153.41607,1674,810.554378
120.423822,1674,815.105105
191.44835,1674,819.656747
240.128151,1674,824.212478
311.37295,1674,828.770802
361.150767,1674,833.319999
359.356839,1674,837.88335
258.246356,1674,842.431078
109.651042,1674,847.076062
120.725651,1674,851.585921
205.078982,1674,856.136256
239.37395,1674,860.68098
46.440877,1674,865.22333
174.54701,1674,869.772661
173.503254,1674,874.321979
68.306679,1674,878.866704
36.034877,1674,883.395151
145.522141,1674,887.925808
42.040991,1674,892.442894
131.219524,1674,897.001402
118.41691,1674,901.55269
88.66462,1674,906.099007
124.962994,1674,910.644737
103.585504,1674,915.186064
47.245124,1674,919.694938
175.487973,1674,924.213588
130.699099,1674,928.720455
137.431176,1674,933.263291
137.198941,1674,937.815638
146.137829,1674,942.370288
164.59541,1674,946.917473
195.994443,1674,951.419343
146.401451,1674,955.912605
214.328964,1674,960.410295
215.501599,1674,964.946618
154.685374,1674,969.501537
189.89554,1674,974.041387
153.294332,1674,978.585692
169.775813,1674,983.107613
153.523415,1674,987.622149
198.309154,1674,992.157772
203.916195,1674,996.68148
176.863982,1674,1001.237399
136.448758,1674,1005.895815
156.610123,1674,1010.409366
197.342228,1674,1014.901614
153.386037,1674,1019.39443
214.350323,1674,1023.881353
199.50696,1674,1028.380352
235.126549,1674,1032.888811
213.523996,1674,1037.439542
256.213146,1674,1041.977551
202.468947,1674,1046.490246
218.74491,1674,1050.999321
272.117536,1674,1055.470575
151.881807,1674,1059.957818
186.760918,1674,1064.450076
242.953174,1674,1068.995401
166.296746,1674,1073.540976
205.479508,1674,1078.056265
168.214092,1674,1082.547863
175.496487,1674,1087.045688
181.721559,1674,1091.530366
187.774892,1674,1096.025062
164.865025,1674,1100.535947
179.022596,1674,1105.042223
225.960828,1674,1109.574286
381.820433,1674,1114.10027
258.261644,1674,1118.589407
163.856465,1674,1123.048057
195.109098,1674,1127.538042
229.412533,1674,1132.037502
333.313046,1674,1136.582238
292.076148,1674,1141.089269
259.127272,1674,1145.600127
252.626413,1674,1150.078953
236.363615,1674,1154.569033
223.642348,1674,1159.050699
243.754532,1674,1163.540962
314.009388,1674,1168.048233
263.577016,1674,1172.542826
251.301646,1674,1177.034674
299.797157,1674,1181.494908
272.592442,1674,1185.954765
253.568504,1674,1190.440034
268.902542,1674,1194.945491
267.17779,1674,1199.445755
314.639099,1674,1203.965917
226.101079,1674,1208.5033
278.202211,1674,1213.001981
213.050317,1674,1217.499435
313.611887,1674,1222.120227
299.649848,1674,1226.604897
261.330198,1674,1231.102341
101.527156,1674,1235.638719
75.852034,1674,1240.165436
55.447845,1674,1244.658116
270.571301,1674,1249.140972
259.613117,1674,1253.621219
364.42166,1674,1258.121314
335.39552,1674,1262.622867
478.914445,1674,1267.14764
418.570669,1674,1271.648187
347.827593,1674,1276.119425
302.83562,1674,1280.601016
243.587021,1674,1285.089904
281.94944,1674,1289.581589
255.67829,1674,1294.078851
264.675969,1674,1298.638795
241.80325,1674,1303.134934
223.901263,1674,1307.619881
232.759294,1674,1312.105309
206.752726,1674,1316.592572
185.279913,1674,1321.082259
193.934054,1674,1325.6076
113.826284,1674,1330.153912
173.974933,1674,1334.689622
156.578007,1674,1339.144358
86.411689,1674,1343.634034
69.368802,1674,1348.131298
79.29774,1674,1352.652601
