#{"t_start": 1648088579.3330374, "env_id": null}
r,l,t
221.401165,1674,4.355743
13.972596,1674,8.813995
10.866763,1674,13.13312
104.966019,1674,17.32373
168.453165,1674,21.722503
93.191778,1674,25.941529
221.855507,1674,30.149556
234.99778,1674,34.59419
152.639244,1674,38.965958
72.096891,1674,43.561501
135.734631,1674,47.679878
98.786425,1674,52.006313
202.779088,1674,56.310994
99.418076,1674,60.896844
115.692311,1674,65.390295
61.196268,1674,69.839936
160.361859,1674,74.025917
61.452911,1674,78.211041
129.760107,1674,82.735283
108.576523,1674,86.981355
166.547136,1674,91.351933
101.443649,1674,95.588558
244.643845,1674,99.980737
258.166664,1674,104.468997
179.982442,1674,108.974887
463.315982,1674,113.2033
344.092583,1674,117.672729
255.592967,1674,121.834404
387.274397,1674,126.019172
150.146329,1674,130.445259
185.274804,1674,134.800865
201.352363,1674,139.137533
301.271926,1674,143.532127
192.884635,1674,147.898619
103.971081,1674,152.103309
67.908766,1674,156.437426
65.546436,1674,160.808338
105.983452,1674,164.965303
36.963234,1674,169.416727
164.881443,1674,173.6708
128.957518,1674,177.88345
64.019332,1674,182.632156
103.799736,1674,187.100326
64.998601,1674,191.245965
79.815427,1674,195.414935
77.774806,1674,200.016828
57.581348,1674,204.331789
56.354815,1674,208.662072
92.597593,1674,212.828349
156.565577,1674,217.330196
238.151747,1674,221.538998
275.615392,1674,226.070131
259.855938,1674,230.368244
146.500011,1674,234.895136
80.244033,1674,239.259167
92.142428,1674,243.355277
151.096458,1674,247.719653
135.510018,1674,252.248979
199.886902,1674,256.857214
209.937492,1674,261.19995
113.569462,1674,265.756212
62.946013,1674,270.007674
156.799965,1674,274.178652
314.986894,1674,278.614871
253.635363,1674,283.024096
276.386967,1674,287.178555
170.466712,1674,291.529891
199.273969,1674,295.910655
189.650006,1674,300.153756
223.8222,1674,304.199621
214.239346,1674,308.945021
109.000404,1674,313.302596
232.752797,1674,317.478164
237.538985,1674,321.866845
