#{"t_start": 1646722235.0374255, "env_id": null}
r,l,t
47.905602,1674,3.318017
88.759443,1674,11.402367
35.511507,1674,19.36889
71.572861,1674,27.333106
22.993668,1674,35.312643
56.447663,1674,38.075155
59.232371,1674,45.997816
24.152272,1674,53.906298
45.704357,1674,61.889567
147.712163,1674,69.85749
96.613205,1674,72.654678
-5.775914,1674,80.577892
30.444907,1674,88.497303
27.500706,1674,96.43455
-7.248334,1674,104.401842
184.647899,1674,112.379062
36.807311,1674,115.151619
24.768435,1674,123.0769
54.263513,1674,131.014771
64.618243,1674,138.96544
15.542094,1674,146.931963
23.436564,1674,149.775548
24.005178,1674,157.714086
115.855479,1674,165.63883
36.652414,1674,173.559444
57.789398,1674,181.488021
76.46425,1674,189.442524
37.0783,1674,192.190343
97.874986,1674,200.089468
126.09081,1674,208.001518
110.347781,1674,215.921733
85.129356,1674,223.853765
52.863032,1674,226.622283
79.351008,1674,234.514458
99.487409,1674,242.405271
101.706869,1674,250.316567
-7.389518,1674,258.232778
62.134775,1674,266.152298
23.91011,1674,268.887785
24.171556,1674,276.776714
53.521766,1674,284.666564
63.039093,1674,292.557011
185.273583,1674,300.493444
32.773555,1674,303.25298
32.245257,1674,311.138096
20.986242,1674,319.018262
97.719549,1674,326.889523
1.270622,1674,334.781622
98.786017,1674,342.701671
90.060853,1674,345.418141
120.257734,1674,353.285562
234.942943,1674,361.148252
211.104496,1674,369.06727
227.134091,1674,377.006236
83.662809,1674,379.740722
27.032945,1674,387.606874
55.624327,1674,395.470388
227.864927,1674,403.344822
45.955892,1674,411.248427
4.668858,1674,419.16964
123.277265,1674,421.867093
351.414088,1674,429.733936
484.261173,1674,437.614213
66.445681,1674,445.512659
218.667694,1674,453.429416
159.802873,1674,456.166905
64.96767,1674,464.026456
74.633099,1674,471.905894
221.991758,1674,479.784321
57.095293,1674,487.696516
58.031274,1674,495.604682
346.499416,1674,498.288122
253.494506,1674,506.138259
335.251368,1674,513.985673
124.034859,1674,521.86325
101.634079,1674,529.755275
14.477613,1674,532.459745
134.43093,1674,540.301888
163.404012,1674,548.143845
127.662759,1674,555.991065
44.398052,1674,563.844253
131.93289,1674,571.722008
100.923386,1674,574.365412
76.667709,1674,582.193281
175.849793,1674,590.043938
113.523918,1674,597.881688
57.764208,1674,605.738097
200.617127,1674,608.407523
234.553222,1674,616.212619
82.81322,1674,624.018186
84.023036,1674,631.840298
67.870064,1674,639.668271
89.483267,1674,647.514853
59.249248,1674,650.138237
175.425897,1674,657.938747
108.288198,1674,665.766473
49.045439,1674,673.587879
82.250181,1674,681.412579
40.586498,1674,684.060987
61.933868,1674,691.850482
64.853994,1674,699.655395
61.372082,1674,707.476468
159.210546,1674,715.284329
75.928207,1674,723.125739
73.364793,1674,725.738383
112.011465,1674,733.521459
42.606978,1674,741.320845
89.65734,1674,749.145881
114.627522,1674,756.993196
115.485025,1674,759.675635
331.544361,1674,767.475738
44.439026,1674,775.271402
41.221047,1674,783.08078
166.423769,1674,790.922909
169.532861,1674,793.606349
130.851938,1674,801.40571
54.904948,1674,809.198998
174.73309,1674,817.030656
101.045885,1674,824.883061
406.514894,1674,832.74366
60.786917,1674,835.403077
177.827691,1674,843.223735
262.300299,1674,851.038841
184.286176,1674,858.862979
178.567114,1674,866.707791
273.649136,1674,869.40124
203.441415,1674,877.21757
111.628282,1674,885.044698
166.071584,1674,892.8813
228.241551,1674,900.73072
763.107609,1674,908.593737
269.785125,1674,911.259495
442.007183,1674,919.085506
140.379829,1674,926.928107
96.398791,1674,934.774252
240.760436,1674,942.635412
134.547633,1674,945.325859
362.436262,1674,953.152102
159.936818,1674,960.990508
166.781256,1674,968.847679
194.473821,1674,976.721839
307.133411,1674,984.597416
194.83756,1674,987.265842
174.872847,1674,995.087658
100.181789,1674,1002.92179
195.457931,1674,1010.781203
168.772361,1674,1018.652633
163.678749,1674,1021.341077
270.619227,1674,1029.146724
125.504945,1674,1036.984269
166.928431,1674,1044.801658
219.964445,1674,1052.666164
135.900087,1674,1060.534419
225.327358,1674,1063.194838
211.850245,1674,1071.008512
73.425018,1674,1078.83282
237.828623,1674,1086.670221
147.055505,1674,1094.519555
91.257757,1674,1097.196989
84.117783,1674,1104.995407
73.241822,1674,1112.806497
65.243533,1674,1120.634873
64.957916,1674,1128.487013
445.412464,1674,1136.358465
106.860737,1674,1139.015895
250.538247,1674,1146.83151
128.860837,1674,1154.648332
67.144776,1674,1162.488485
45.632842,1674,1170.355592
46.675654,1674,1173.039032
29.859313,1674,1180.873636
231.501536,1674,1188.707043
140.314449,1674,1196.558193
166.759318,1674,1204.421831
49.686681,1674,1212.306328
252.177125,1674,1214.976756
296.502225,1674,1222.819325
77.291735,1674,1230.664766
53.586657,1674,1238.544942
32.945681,1674,1246.424164
177.788146,1674,1249.092602
92.271135,1674,1256.912724
75.836053,1674,1264.71782
100.01555,1674,1272.563194
41.219149,1674,1280.422762
250.00926,1674,1288.291945
287.577358,1674,1290.934615
38.404625,1674,1298.741255
49.70159,1674,1306.557125
257.439883,1674,1314.406535
216.215414,1674,1322.242659
251.090639,1674,1324.909083
219.528145,1674,1332.701566
268.59575,1674,1340.504453
328.966693,1674,1348.322826
314.166285,1674,1356.171642
252.928731,1674,1364.016878
183.895562,1674,1366.660282
220.162526,1674,1374.454914
269.181643,1674,1382.26101
328.267157,1674,1390.082725
252.300766,1674,1397.914845
297.977995,1674,1400.563253
194.614379,1674,1408.362648
257.553748,1674,1416.173325
230.830986,1674,1423.9931
280.58569,1674,1431.829744
308.188206,1674,1439.679881
212.286856,1674,1442.295259
239.591204,1674,1450.092037
286.974229,1674,1457.908446
263.192274,1674,1465.733552
319.626404,1674,1473.577574
339.509168,1674,1476.231987
203.638632,1674,1484.024072
82.823707,1674,1491.849025
41.017011,1674,1499.691167
34.110746,1674,1507.555317
77.063991,1674,1515.429747
